const,TOT_POP,White-alone pop,Black-alone pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,county_pop2018_18 and older,Urban_rural_code,Age_0_19,Age_20_39,Age_40_59,Age_60+,Other_races,Indice_Profesionales_Disponibles,Indice_Capacidad_Medica,y
1.0,18128,17081,343,497,80,15.3,7.8,7.6,1.7,18.5,20.2,2695,3898,2914,1103,1922,14.0,13.5,84946,9157,225,2.4,84946,140.1,6.252810577,3.690421435,0.330325246,6.859143724,6.070910633,21.40987606,0,12559,5,6036,5178,4156,2758,704,95.95,44.613487675,13866
1.0,10949,8016,291,-148,292,11.3,15.4,-4.1,-0.2,-9.2,-9.3,1198,2651,2327,1281,2068,25.9,23.6,39756,5165,154,2.9,39756,76.6,3.140520137,3.576472092,0.347095506,3.662551777,6.275486745,12.94527399,0,8376,6,2912,2537,2675,2825,2642,91.69999999999999,29.947400247,11193
1.0,114277,86026,24153,-387,2739,11.3,13.1,-1.8,0.6,-2.2,-1.6,12620,25653,26643,14219,21719,26.5,24.1,45400,43833,2139,4.7,45400,91.0,59.3143209,12.50814414,2.361350576,53.42263431,43.6732958,148.2741124,24,89582,4,27778,29328,29052,28119,4098,96.11666666666666,343.553858126,118370
1.0,17158,15685,664,39,565,14.5,9.7,4.8,1.8,-4.3,-2.6,2481,4021,3234,1428,2072,16.4,15.5,54828,7846,276,3.4,54828,91.3,10.4487202,4.637231179,0.641492707,6.9476922,11.74801475,22.21848046,0,12835,6,4821,4131,4110,4096,809,97.89999999999999,56.641631496,15103
1.0,42855,38948,2644,140,1047,13.4,8.0,5.4,4.1,-6.2,-2.2,3293,7395,11259,6695,4854,17.9,16.4,60579,24095,726,2.9,60579,86.2,21.99580516,13.83902741,0.969953908,24.554345,26.77683781,71.66202771,8,32341,5,11418,10281,9960,11196,1263,130.43333333333334,167.79799699800003,30975
1.0,28759,19226,8959,99,1452,11.9,10.5,1.4,1.4,0.7,2.1,3417,6043,5857,3226,4827,25.9,24.0,48082,11659,600,4.9,48082,107.5,20.08728324,1.030364001,0.95332744,11.35326315,10.5636384,32.55757652,0,22222,2,7860,7274,7101,6524,574,84.5,76.545452751,28665
1.0,289615,56781,208956,5081,4702,14.1,6.4,7.7,2.9,7.1,10.0,26249,56696,55639,33538,50072,27.3,27.9,46059,129814,6688,4.9,46059,78.6,132.5632909,91.59669137,3.992040953,137.0508956,93.909322,352.0704807,34,209056,2,88785,85678,73513,41639,23878,99.28333333333335,845.182721523,253075
1.0,17821,17254,160,82,177,11.8,12.9,-1.1,0.6,5.3,5.8,3059,4523,3291,1604,3792,30.5,28.7,34648,5906,364,5.8,34648,69.0,11.70145703,3.93239149,0.4187638,7.876747661,7.577630661,25.74799134,2,13782,6,4371,3810,4772,4868,407,101.93333333333332,59.254981982000004,18905
1.0,151260,125562,10999,2047,8511,11.9,4.8,7.2,6.4,0.1,6.5,4100,13985,22501,45730,22536,13.7,13.7,64387,83551,1635,1.9,64387,107.2,92.11291623,40.8804982,5.655215461,61.24885897,103.5671238,195.8717423,95,121077,4,38465,56846,30857,25092,14699,97.89999999999999,594.336354961,94623
1.0,270771,216326,37316,777,11339,13.0,9.2,3.7,1.9,-2.8,-0.8,20253,53751,50092,51236,35068,17.7,15.9,54674,131857,4871,3.6,54674,98.1,139.7174699,34.19092443,5.341067485,106.457186,134.4573277,352.2676782,74,206766,3,73176,73207,64469,59919,17129,101.68333333333334,846.431653715,229976
